"species","ppt_threshold"
"abieconc",1214.67891794587
"abiemagn",1244.31685338033
"pinulamb",1203.7509092377
"pinupond",1032.12199302038
"pinusabi",824.881239378259
"pseumenz",1292.45665660693
"pinujeff",1060.18489925608
"pinuyell",1014.26420780879
"pinupond",1032.12199302038
"pinupond",1032.12199302038
"pinupond",1032.12199302038
"pinujeff",1060.18489925608
"pinuyell",1014.26420780879
